point_id,region_id,u_m,v_m,x_m,y_m,z_m,nx,ny,nz
145,25,6.000000000,-0.000000000,0.070643608,0.000000000,25.051819522,0.000000000,-1.000000000,0.000000000
146,26,5.300000000,-0.000000000,0.070629319,0.000000000,24.351819522,0.000000000,-1.000000000,0.000000000
147,26,5.350000000,-0.000000000,0.070630339,0.000000000,24.401819522,0.000000000,-1.000000000,0.000000000
148,26,5.400000000,-0.000000000,0.070631360,0.000000000,24.451819522,0.000000000,-1.000000000,0.000000000
149,26,5.450000000,-0.000000000,0.070632381,0.000000000,24.501819522,0.000000000,-1.000000000,0.000000000
150,26,5.500000000,-0.000000000,0.070633401,0.000000000,24.551819522,0.000000000,-1.000000000,0.000000000
151,26,5.550000000,-0.000000000,0.070634422,0.000000000,24.601819522,0.000000000,-1.000000000,0.000000000
152,27,4.500000000,-0.000000000,0.070612988,0.000000000,23.551819522,0.000000000,-1.000000000,0.000000000
153,27,4.550000000,-0.000000000,0.070614009,0.000000000,23.601819522,0.000000000,-1.000000000,0.000000000
154,27,4.600000000,-0.000000000,0.070615030,0.000000000,23.651819522,0.000000000,-1.000000000,0.000000000
155,27,4.650000000,-0.000000000,0.070616050,0.000000000,23.701819522,0.000000000,-1.000000000,0.000000000
156,27,4.700000000,-0.000000000,0.070617071,0.000000000,23.751819522,0.000000000,-1.000000000,0.000000000
157,27,4.750000000,-0.000000000,0.070618092,0.000000000,23.801819522,0.000000000,-1.000000000,0.000000000
158,27,4.800000000,-0.000000000,0.070619112,0.000000000,23.851819522,0.000000000,-1.000000000,0.000000000
159,27,4.850000000,-0.000000000,0.070620133,0.000000000,23.901819522,0.000000000,-1.000000000,0.000000000
160,27,4.900000000,-0.000000000,0.070621154,0.000000000,23.951819522,0.000000000,-1.000000000,0.000000000
161,27,4.950000000,-0.000000000,0.070622174,0.000000000,24.001819522,0.000000000,-1.000000000,0.000000000
162,27,5.000000000,-0.000000000,0.070623195,0.000000000,24.051819522,0.000000000,-1.000000000,0.000000000
163,27,5.050000000,-0.000000000,0.070624216,0.000000000,24.101819522,0.000000000,-1.000000000,0.000000000
164,27,5.100000000,-0.000000000,0.070625236,0.000000000,24.151819522,0.000000000,-1.000000000,0.000000000
165,28,3.500000000,-0.000000000,0.070592576,0.000000000,22.551819522,0.000000000,-1.000000000,0.000000000
166,28,3.550000000,-0.000000000,0.070593596,0.000000000,22.601819522,0.000000000,-1.000000000,0.000000000
167,28,3.600000000,-0.000000000,0.070594617,0.000000000,22.651819522,0.000000000,-1.000000000,0.000000000
168,28,3.650000000,-0.000000000,0.070595637,0.000000000,22.701819522,0.000000000,-1.000000000,0.000000000
169,28,3.700000000,-0.000000000,0.070596658,0.000000000,22.751819522,0.000000000,-1.000000000,0.000000000
170,28,3.750000000,-0.000000000,0.070597679,0.000000000,22.801819522,0.000000000,-1.000000000,0.000000000
171,28,3.800000000,-0.000000000,0.070598699,0.000000000,22.851819522,0.000000000,-1.000000000,0.000000000
172,28,3.850000000,-0.000000000,0.070599720,0.000000000,22.901819522,0.000000000,-1.000000000,0.000000000
173,28,3.900000000,-0.000000000,0.070600741,0.000000000,22.951819522,0.000000000,-1.000000000,0.000000000
174,28,3.950000000,-0.000000000,0.070601761,0.000000000,23.001819522,0.000000000,-1.000000000,0.000000000
175,28,4.000000000,-0.000000000,0.070602782,0.000000000,23.051819522,0.000000000,-1.000000000,0.000000000
176,28,4.050000000,-0.000000000,0.070603803,0.000000000,23.101819522,0.000000000,-1.000000000,0.000000000
177,28,4.100000000,-0.000000000,0.070604823,0.000000000,23.151819522,0.000000000,-1.000000000,0.000000000
178,28,4.150000000,-0.000000000,0.070605844,0.000000000,23.201819522,0.000000000,-1.000000000,0.000000000
179,28,4.200000000,-0.000000000,0.070606865,0.000000000,23.251819522,0.000000000,-1.000000000,0.000000000
180,29,3.150000000,-0.000000000,0.070585431,0.000000000,22.201819523,0.000000000,-1.000000000,0.000000000
181,29,3.200000000,-0.000000000,0.070586452,0.000000000,22.251819523,0.000000000,-1.000000000,0.000000000
182,29,3.250000000,-0.000000000,0.070587472,0.000000000,22.301819522,0.000000000,-1.000000000,0.000000000
183,29,3.300000000,-0.000000000,0.070588493,0.000000000,22.351819522,0.000000000,-1.000000000,0.000000000
184,30,2.600000000,-0.000000000,0.070574204,0.000000000,21.651819523,0.000000000,-1.000000000,0.000000000
185,30,2.650000000,-0.000000000,0.070575225,0.000000000,21.701819523,0.000000000,-1.000000000,0.000000000
186,30,2.700000000,-0.000000000,0.070576245,0.000000000,21.751819523,0.000000000,-1.000000000,0.000000000
187,30,2.750000000,-0.000000000,0.070577266,0.000000000,21.801819523,0.000000000,-1.000000000,0.000000000
188,30,2.800000000,-0.000000000,0.070578287,0.000000000,21.851819523,0.000000000,-1.000000000,0.000000000
189,30,2.850000000,-0.000000000,0.070579307,0.000000000,21.901819523,0.000000000,-1.000000000,0.000000000
190,30,2.900000000,-0.000000000,0.070580328,0.000000000,21.951819523,0.000000000,-1.000000000,0.000000000
191,30,2.950000000,-0.000000000,0.070581348,0.000000000,22.001819523,0.000000000,-1.000000000,0.000000000
192,31,0.800000000,-0.000000000,0.070537461,0.000000000,19.851819523,0.000000000,-1.000000000,0.000000000
193,31,0.850000000,-0.000000000,0.070538481,0.000000000,19.901819523,0.000000000,-1.000000000,0.000000000
194,31,0.900000000,-0.000000000,0.070539502,0.000000000,19.951819523,0.000000000,-1.000000000,0.000000000
195,31,0.950000000,-0.000000000,0.070540523,0.000000000,20.001819523,0.000000000,-1.000000000,0.000000000
196,31,1.000000000,-0.000000000,0.070541543,0.000000000,20.051819523,0.000000000,-1.000000000,0.000000000
197,31,1.050000000,-0.000000000,0.070542564,0.000000000,20.101819523,0.000000000,-1.000000000,0.000000000
198,31,1.100000000,-0.000000000,0.070543585,0.000000000,20.151819523,0.000000000,-1.000000000,0.000000000
199,31,1.150000000,-0.000000000,0.070544605,0.000000000,20.201819523,0.000000000,-1.000000000,0.000000000
200,31,1.200000000,-0.000000000,0.070545626,0.000000000,20.251819523,0.000000000,-1.000000000,0.000000000
201,31,1.250000000,-0.000000000,0.070546646,0.000000000,20.301819523,0.000000000,-1.000000000,0.000000000
202,31,1.300000000,-0.000000000,0.070547667,0.000000000,20.351819523,0.000000000,-1.000000000,0.000000000
203,31,1.350000000,-0.000000000,0.070548688,0.000000000,20.401819523,0.000000000,-1.000000000,0.000000000
204,31,1.400000000,-0.000000000,0.070549708,0.000000000,20.451819523,0.000000000,-1.000000000,0.000000000
205,31,1.450000000,-0.000000000,0.070550729,0.000000000,20.501819523,0.000000000,-1.000000000,0.000000000
206,31,1.500000000,-0.000000000,0.070551750,0.000000000,20.551819523,0.000000000,-1.000000000,0.000000000
207,32,0.400000000,-0.000000000,0.070529295,0.000000000,19.451819523,0.000000000,-1.000000000,0.000000000
208,32,0.450000000,-0.000000000,0.070530316,0.000000000,19.501819523,0.000000000,-1.000000000,0.000000000
209,32,0.500000000,-0.000000000,0.070531337,0.000000000,19.551819523,0.000000000,-1.000000000,0.000000000
210,32,0.550000000,-0.000000000,0.070532357,0.000000000,19.601819523,0.000000000,-1.000000000,0.000000000
211,32,0.600000000,-0.000000000,0.070533378,0.000000000,19.651819523,0.000000000,-1.000000000,0.000000000
212,33,-0.100000000,-0.000000000,0.070519089,0.000000000,18.951819523,0.000000000,-1.000000000,0.000000000
213,33,-0.050000000,-0.000000000,0.070520110,0.000000000,19.001819523,0.000000000,-1.000000000,0.000000000
214,33,0.000000000,-0.000000000,0.070521130,0.000000000,19.051819523,0.000000000,-1.000000000,0.000000000
215,33,0.050000000,-0.000000000,0.070522151,0.000000000,19.101819523,0.000000000,-1.000000000,0.000000000
216,33,0.100000000,-0.000000000,0.070523172,0.000000000,19.151819523,0.000000000,-1.000000000,0.000000000
217,33,0.150000000,-0.000000000,0.070524192,0.000000000,19.201819523,0.000000000,-1.000000000,0.000000000
218,34,-1.000000000,-0.000000000,0.070500717,0.000000000,18.051819523,0.000000000,-1.000000000,0.000000000
219,34,-0.950000000,-0.000000000,0.070501738,0.000000000,18.101819523,0.000000000,-1.000000000,0.000000000
220,34,-0.900000000,-0.000000000,0.070502759,0.000000000,18.151819523,0.000000000,-1.000000000,0.000000000
221,34,-0.850000000,-0.000000000,0.070503779,0.000000000,18.201819523,0.000000000,-1.000000000,0.000000000
222,34,-0.800000000,-0.000000000,0.070504800,0.000000000,18.251819523,0.000000000,-1.000000000,0.000000000
223,34,-0.750000000,-0.000000000,0.070505821,0.000000000,18.301819523,0.000000000,-1.000000000,0.000000000
224,34,-0.700000000,-0.000000000,0.070506841,0.000000000,18.351819523,0.000000000,-1.000000000,0.000000000
225,34,-0.650000000,-0.000000000,0.070507862,0.000000000,18.401819523,0.000000000,-1.000000000,0.000000000
226,34,-0.600000000,-0.000000000,0.070508883,0.000000000,18.451819523,0.000000000,-1.000000000,0.000000000
227,34,-0.550000000,-0.000000000,0.070509903,0.000000000,18.501819523,0.000000000,-1.000000000,0.000000000
228,34,-0.500000000,-0.000000000,0.070510924,0.000000000,18.551819523,0.000000000,-1.000000000,0.000000000
229,34,-0.450000000,-0.000000000,0.070511945,0.000000000,18.601819523,0.000000000,-1.000000000,0.000000000
230,34,-0.400000000,-0.000000000,0.070512965,0.000000000,18.651819523,0.000000000,-1.000000000,0.000000000
231,34,-0.350000000,-0.000000000,0.070513986,0.000000000,18.701819523,0.000000000,-1.000000000,0.000000000
232,34,-0.300000000,-0.000000000,0.070515006,0.000000000,18.751819523,0.000000000,-1.000000000,0.000000000
233,35,-1.900000000,-0.000000000,0.070482346,0.000000000,17.151819524,0.000000000,-1.000000000,0.000000000
234,35,-1.850000000,-0.000000000,0.070483366,0.000000000,17.201819524,0.000000000,-1.000000000,0.000000000
235,35,-1.800000000,-0.000000000,0.070484387,0.000000000,17.251819524,0.000000000,-1.000000000,0.000000000
236,35,-1.750000000,-0.000000000,0.070485408,0.000000000,17.301819524,0.000000000,-1.000000000,0.000000000
237,35,-1.700000000,-0.000000000,0.070486428,0.000000000,17.351819524,0.000000000,-1.000000000,0.000000000
238,35,-1.650000000,-0.000000000,0.070487449,0.000000000,17.401819524,0.000000000,-1.000000000,0.000000000
239,35,-1.600000000,-0.000000000,0.070488470,0.000000000,17.451819524,0.000000000,-1.000000000,0.000000000
240,35,-1.550000000,-0.000000000,0.070489490,0.000000000,17.501819523,0.000000000,-1.000000000,0.000000000
241,35,-1.500000000,-0.000000000,0.070490511,0.000000000,17.551819523,0.000000000,-1.000000000,0.000000000
242,35,-1.450000000,-0.000000000,0.070491532,0.000000000,17.601819523,0.000000000,-1.000000000,0.000000000
243,35,-1.400000000,-0.000000000,0.070492552,0.000000000,17.651819523,0.000000000,-1.000000000,0.000000000
244,35,-1.350000000,-0.000000000,0.070493573,0.000000000,17.701819523,0.000000000,-1.000000000,0.000000000
245,35,-1.300000000,-0.000000000,0.070494594,0.000000000,17.751819523,0.000000000,-1.000000000,0.000000000
246,36,-2.500000000,-0.000000000,0.070470098,0.000000000,16.551819524,0.000000000,-1.000000000,0.000000000
247,36,-2.450000000,-0.000000000,0.070471119,0.000000000,16.601819524,0.000000000,-1.000000000,0.000000000
248,36,-2.400000000,-0.000000000,0.070472139,0.000000000,16.651819524,0.000000000,-1.000000000,0.000000000
249,36,-2.350000000,-0.000000000,0.070473160,0.000000000,16.701819524,0.000000000,-1.000000000,0.000000000
250,36,-2.300000000,-0.000000000,0.070474181,0.000000000,16.751819524,0.000000000,-1.000000000,0.000000000
251,36,-2.250000000,-0.000000000,0.070475201,0.000000000,16.801819524,0.000000000,-1.000000000,0.000000000
252,36,-2.200000000,-0.000000000,0.070476222,0.000000000,16.851819524,0.000000000,-1.000000000,0.000000000
253,36,-2.150000000,-0.000000000,0.070477243,0.000000000,16.901819524,0.000000000,-1.000000000,0.000000000
